Acronym/ Abbreviation,Mapped Value
r. ,rule
s. ,section
art. ,article
num.,number
no. ,number
I.P.C. ,Indian Penal Code
C.R.P.C,Criminal Procedure Code
Cr.P.C.,Criminal Procedure Code
cl. ,clause
Bom. ,Bombay
Guj.,Gujarat
ss.,subsection
vs.,versus
v.,versus
Ors.,Others
Anr.,Another
Smt. ,Shrimati
U.P.,Uttar Pradesh
A.P.,Andhra Pradesh
Andh P,Andhra Pradesh
Arun P,Arunachal Pradesh
Pat. ,Patna
Ass.,Assam
Bih.,Bihar
Chh.,Chhattisgarh
Del.,Delhi
Ch.,Chapter
MP,Madhya Pradesh
Jha.,Jharkand
Kar.,Karnataka
Mah.,Maharashtra
Lak.,Lakshdweep
Ker.,Kerala
H.P.,Himachal Pradesh
Miz.,Mizoram
Megh.,Meghalaya
Man.,Manipur
Nag.,Nagaland
Orr.,Orissa
Pon.,Pondicherry
Pun.,Punjab
Raj.,Rajasthan
Sik.,Sikkim
T.N.,Tamil Nadu
Tri.,Tripura
WB,West Bengal
Cal.,Calcutta
Cut.,Cuttack
Hyd.,Hyderabad
Luck.,Lucknow
Mys.,Mysore
Alld.,Allahabad
AIR,All India Repoter
S.C.R.,Supreme Court Reports
p.,page
Co.,Company
sec.,section
sub-s.,subsection
F.I.R.,First Information Report
cls.,clause
P.W.,Prosecution Witness
ex.,exhibit
schs.,schedules
I.T.R.,Income Tax Reports
ILR,Indian Law Reports
ITC,Income Tax Cases
HCJ,High Court Judgments
ITJ,Income Tax Journal
IJR,Indian Judicial Reports
RCR,Recent Criminal Reports
RRR,Recent Revenue Reports
SCC,Supreme Court Cases
SCC (Cr R),Supreme Court Criminal Rulings
SCJ,Supreme Court Journal
A & N Isl,Anadamans & Nicobar Islands
Ch,Chandigarh
J & K,Jammu and Kashmir
ACJ,Accidents Claims Journal
ACC,Accidents Compensation Cases
AJR,Accidents Judicial Reports
ATC,Administrative Tribunal Cases
ATR,Administrative Tribunal Reporter
AICLJ,All India Civil Law Judgments
AICD,All India Criminal Decisions
AIHC,All India High Court Cases
Capt.,Captain
AI Hin L Rtr,All India Hindu Law Reporter
AILLR,All India Land Law Reporter
AI PFAC,All India Prevention of Food  
RCJ,Rent Contorl Journal
AITC,All India Tribunal Cases 
A S I L,Annual Survey of Indian Law
AD,Appex Decisions  
Arb LR ,Arbitration Law Reporter
Lah.,Lahore
Para.,Paragraph
Arts.,Articles
J.,Judge
C.J.,Chief Justice
C.J.I.,Chief Justice of India
S.C. ,Supreme Court 
S.C.I.,Supreme Court OF India
Supp.,Supplementary
C.P.C.,Civil Procedural Code
MCI,Medical Council of India
LPA,Letters Patent Appeal
Mad.,Madras
M.L.J,Madras Law Journal
A.C.,Appellate Court
A.C.R.,Annual Confidential Report
JJ,Juvenile Justice
BC,Banking Cases
BLR,Bengal Law Reports
CLJ,Calcutta Law Journal
CLR,Calcutta Law Reporter 
CLT,Calcutta Law Times
CCC,Civil Court Cases 
CLJ,Civil Law Journal
CLJ,Company Law Journal 
CLJ,Construction Law Journal
CLR,Construction Law Reports 
CAR,Criminal Appeal Reporter (Supreme Court)
CLC,Criminal Law Cases
CLR,Criminal Law Reporter
CCC,Current Civil Cases
CCR,Current Criminal Reports
CCLJ,Current Civil Law Judgments
CIS,Current Indian States
CLR,Current Labour Reporter
CTR,Current Tax Reporter
CLJ,Current Law Journal
ITTD,Income Tax Tribunal Decisions
FJR,Indian Factories Journal
FLR,Indian Factories & Labour Reports
ITM,Indian Tax Mirror
LLJ,Labour Law Journal
LLN,Labour Law Notes
LLR,Labour Law Reporter
LLR,Land Law Reporter
LW,Law Weekly
MLJ,Marriage Law Journal
MLR,Matrimonial Law Reporter
MLJ,Mysore Law Journal
OLR,Orissa Law Reporter
Pat Cr R,Patna Criminal Reports
PLW,Patna Law Weekly
PWN,Patna Weekly Notes
RC,Rent Cases
RCJ,Rent Control Journal
RCR,Rent Control Reporter
RLR,Rent Law Reporter
STC,Sales Tax Cases
STL,Sales Tax Literature
SCT,Service Cases Today
SLC,Service Law Cases
SLJ,Service Law Journal
SLR,Service Law Reporter
TG,Tax Gazette
CLJ,Company Law Journal
CLJ,Construction Law Journal
CLR,Construction Law Reports
CCJ,Consumer Claims Journal
CLT,Consumer Law Today
CPJ,Consumer Protection Cases
CPJ,Consumer Protection Judgments
CPR,Consumer Protection Reporter
CLA,Corporate Law Advisor
Crim,Crimes
CAD,Criminal Appeal Decisions
CAR,Criminal Appeal Reporter
CLC,Criminal Law Cases
Cri LJ,Criminal Law Journal
CLR,Criminal Law Reporter
CLR,Criminal Law Reports (Rajasthan)
Cr R (Alld),Criminal Reports (Allahabad)
CLT,Criminal Law Times
CCL,Current Central Legislation
CCC,Current Civil Cases
CCR,Current Criminal Reports
CCLJ,Current Civil Law Judgments
CIS,Current Indian Statutes
CLR,Current Labour Reporter
CLJ,Current Law Journal
CLJ,Current Law Journal (Civil)
CLJ,Current Law Journal (Criminal)
CSJ,Current Services Journal
CTR,Current Tax Reporter
CLT,Cuttack Law Times
CWR,Cuttack Weekly Reporter
DLR,Delhi Law Review
DLT,Delhi Law Times
DRJ,Delhi Reported Judgments
DTB,Direct Tax Bulletin
DMC,Divorce & Matrimonial Cases
ECR,Eastern Criminal Cases
ESC,Education and Service Cases
ELR,Election Law Reports
ELR,Environment Law Reports
ECC,Essential Commodities Cases
ECC,Excise and Customs Cases
ECR,Excise and Customs Reporter
ELT,Excise Law Times
ETR,Excise Tribunal Reporter
EIT,Exports Imports Times
FJR,Factories Journal Reports
FAJ,Food Adulteration Journal
Gauh L R,Gauhati Law Reports
GLH,Gujarat Law Herald
GLR,Gujarat Law Reporter
Guj Sta Cur St,Gujarat State Current Statutes
HCJ ,High Court Judgments (Hindi)               
HLR ,Himachal Law Reporter                     
 I L R (Alld),Indian Law Reports (Allahabad) 
I L R (A.P.),Indian Law Reports (Andhra Pradesh) 
I L R (Ass),Indian Law Reports (Assam)             
I L R (Ass & Naga) ,Indian Law Reports (Assam &  Nagaland)
I L R (Bom),Indian Law Reports (Bombay)           
I L R (Cal),Indian Law Reports (Calcutta)           
I L R (Cut),Indian Law Reports (Cuttack)            
I L R (Del),Indian Law Reports (Delhi)               
I L R (Guj),Indian Law Reports (Gujarat)            
I L R (Him-Pra)  ,Indian Law Reports (Himachal- Pradesh)
 I L R (Hyd),Indian Law Reports (Hyderabad)      
 I L R (Kar),Indian Law Reports (Karnataka)       
I L R (Kar),Indian Law Reports (Karachi)            
 I L R (Ker),Indian Law Reports (Kerala)             
 I L R (Lah),Indian Law Reports (Lahore)            
I L R (Luck),Indian Law Reports (Lucknow)         
I L R (M B),Indian Law Reports (Madhya Bharat)  
I L R (M P),Indian Law Reports (Madhya Pradesh) 
I L R (Mad),Indian Law Reports (Madras)            
I L R (Mys),Indian Law Reports (Mysore)            
I L R (Nag),Indian Law Reports (Nagpur)            
I L R (Patiala),Indian Law Reports (Patiala)             
I L R (Pat),Indian Law Reports (Patna)               
I L R (P & H),Indian Law reports (Punjab &  Haryana)
I L R (Raj),Indian Law Reports (Rajasthan)        
All L J ,Allahabad Law Journal  
All L R,Allahabad Law Reports    
All L T,Allahabad Law Times  
ARC,Allahabad Rent Cases  
All W C ,Allahabad Weekly Cases    
ALT,Andhra Law Times
APLJ,Andhra Pradesh Law Journal 
Andh W L Rtr,Andhra Weekly Law Reporter 
An W R ,Andhra Weekly Reporter 
A S I L,Annual Survey of Indian Law             
AD,Appex Decisions 
BJ,Bankers’ Journal  
BCLR,Banking Commercial Law Reporter  
BC,Banking Cases
BISJ,Banking Important and Selective Judgment
BBCJ,Bihar Bar Council Journal
B Cr C,Bihar Criminal Cases
BLJR,Bihar Law Journal Reports
BLJ,Bihar Law Judgments
BLT,Bihar Law Times
BCR,Bombay Cases Reporter 
BCC,Bombay Criminal Cases 
Bom LR,Bombay Law Reporter 
BLR,Building Law Reports
CHN,Calcutta High Court Notes
CWN,Calcutta Weekly Notes
Ch CC,Chandigarh Civil Cases
Ch Cr C,Chandigarh Criminal Cases
Ch LR,Chandigarh Law Reporter
Ch LR (Cr)  ,Chandigarh Law Reporter (Criminal) 
CMLJ,Civil & Military Law Journal 
CCC ,Civil Court Cases   
 CLJ,Civil Law Journal                      
Coch U L R,Cochin University Law Review          
CC,Company Cases (Report of the  Cases)
CLJ,Company Law Journal
CLJ,Construction Law Journal
CLR,Construction Law Reports
CLA,Corporate Law Advisor
Cri LJ,Criminal Law Journal
 I L R (Tra- Coch),Indian Law Reports      
Ind Adv,Indian Advocate                                 
Ind Bar Rev,Indian Bar Review  
FJR,Indian Factories Journal  
FLR,Indian Factories & Labour Reports   
Ind J Crimi. & Crintcs.,Indian Journal Of Criminology and  Criminalistics
Ind J Env H Law,Indian Journal Of Envirinmental       
IJIL,Indian Journal Of International Law
IJR,Indian Judicial Reports  
ISLJ,Indian Socio-Legal Journal  
ITM,Indian Tax Mirror 
ICLR,Islamic and Comparative Law  
 J & K Kash LR,J & K Kashmir Law Reporter           
JLJ,Jabalpur Law Journal   
J&KLR,Jammu & Kashmir Law Reports 
J Constl & Par Stud,Journal of Constitutional and  Parliamentary Studies
JCC,Journal of Criminal Cases  
JILI,Journal of the Indian Law Institute  
JT,Judgment Today  
KLC,Karnataka Law Cronicle 
KarLJ,Karnataka Law Journal 
Kash L J,Kashmir Law Journal  
KLJ,Kerala Law Journal 
KLR,Kerala Law Reporter   
KLT,Kerala Law Times  
LabIC,Labour & Industrial Cases 
LLJ,Labour Law Journal  
LLN,Labour Law Notes  
LLR,Labour Law Reporter 
LACC Compn C,Land Acquisition and Compensation                                                   
Ltd.,Limited
Edn. ,Edition
Pvt.,Private
Lt. ,Lieutenant
Col.,Colonel
viz.,viz
Etc.,etc
Dr.,Dr
A.M.,AM
P.M.,PM
Mr.,Mr
Ms.,Miss
Mrs.,Mrs
w.e.f.,with effect from
Rs.,Rupees
M.B.B.S.,MBBS
Shri.,Shri
Ref.,Reference
LLR,Land Law Reporter  
LS(AP),Land Summary (AP) 
LW,Law Weekly  
L Weekly (Cr),Law Weekly (Criminal)                     
Luck L T,Lucknow Law Times  
MPC,Madhya Pradesh Cases  
Madh P L J,Madhya Pradesh Law Journal            
MPLT,Madhya Pradesh Law Times
MPRCJ ,Madhya Pradesh Rent Control Journal   
MPWR,Madhya Pradesh Weekly Reporter  
MLJ,Madras Law Journal 
MLJ(Cr),Madras Law Journal (Criminal) 
MLW,Madras Law Weekly 
MLW(Cr),Madras Law Weekly (Criminal)  
MLJ,Maharashtra Law Journal 
MRCJ,Maharashtra Rent Control Journal 
MLJ,Marriage Law Journal  
MLR,Matrimonial Law Reporter  
Muni & CorpnC,Municipalities & Corporation Cases  
MLJ,Mysore Law Journal 
OLR,Orrisa Law Reporter 
Orr L Rev,Orrisa Law Review 
PTMR Rtr,Patents & trade Mark Reporter  
PTMC,Patents & Trade Mark Cases 
Pat Cr R,Patna Criminal Reports  
PLJR,Patna Law Journal Reports  
PLW,Patna Law Weekly  
PWN,Patna Weekly Notes 
PJ,Popular Jurist
PFAJ,Prevention of Food Adulteration Journal
PLJ,Punjab Law Journal
PLJ (Cr),Punjab Law Journal (Criminal)
PLR,Punjab Law Reporter
PLR(D),Punjab Law Reporter (Delhi)
RJC,Rajasthan Criminal Cases
RLR,Rajasthan Law Reporter
RLW,Rajasthan Law Weekly
RSJ,Recent Service Judgments
Rel & L R,Religion and Law Review
RD,Revenue Decisions
RLR,Revenue Law Reporter
Sales T Intpn,Sales Tax Interpretation
